desigcomercial,numbicicletas,numdocasvacias,add_data,add_hora,datetime,longitude,latitude
459 - Rua Maria Amália Vaz de Carvalho / ES Rainha D. Leonor,12,8,2022-02-20,22:20:38.,2022-02-20 22:20:38,-9.141741,38.751481
457 - Rua Aboim Ascensão,4,6,2022-02-20,22:20:39.,2022-02-20 22:20:39,-9.14722,38.74975
462 - Campo Grande / Biblioteca Nacional,4,25,2022-02-20,22:20:39.,2022-02-20 22:20:39,-9.15031,38.75027
104 - Gare do Oriente,15,25,2022-02-20,22:20:12.,2022-02-20 22:20:12,-9.097322,38.766716
316 - Rua António Pedro / Rua Pascoal de Melo,10,4,2022-02-20,22:20:12.,2022-02-20 22:20:12,-9.135356,38.731424
105 - CC Vasco da Gama,22,18,2022-02-20,22:20:12.,2022-02-20 22:20:12,-9.096222,38.768548
313 - Rua Frei Francisco Foreiro / Rua de Arroios,5,9,2022-02-20,22:20:11.,2022-02-20 22:20:11,-9.135956,38.728049
474 - Av. do Brasil / Av. Rio de Janeiro,15,1,2022-02-20,22:20:11.,2022-02-20 22:20:11,-9.1409,38.75832 
203 - Padrão dos Descobrimentos,19,3,2022-02-20,22:20:11.,2022-02-20 22:20:11,-9.20633,38.6935 
307 - Marquês de Pombal,17,16,2022-02-20,22:20:11.,2022-02-20 22:20:11,-9.149334,38.724954
109 - Alameda dos Oceanos / Rua Ilha dos Amores,3,11,2022-02-20,22:20:16.,2022-02-20 22:20:16,-9.094672,38.777589
205 - Av. Brasília / Cordoaria,2,8,2022-02-20,22:20:16.,2022-02-20 22:20:16,-9.188,"38.697 ""ty"
407 - Praça Duque de Saldanha,7,10,2022-02-20,22:20:13.,2022-02-20 22:20:13,-9.14446,38.73434
428 - Av. República / Avenida Barbosa Du Bocage,5,7,2022-02-20,22:20:15.,2022-02-20 22:20:15,-9.14684,38.74047
110 - Rua de Moscavide,3,15,2022-02-20,22:20:15.,2022-02-20 22:20:15,-9.097068,38.778466
461 - Rua Professora Teresa Ambrósio,27,5,2022-02-20,22:20:17.,2022-02-20 22:20:17,-9.155564,38.749141
139 - Rua Cidade de Bissau {Metro Olivais},0,25,2022-02-20,22:20:40.,2022-02-20 22:20:40,-9.111596,38.76134]
477 - Alameda da Universidade / Faculdade de Direito,22,2,2022-02-20,22:20:40.,2022-02-20 22:20:40,-9.15671,38.75264
208 - Cais das Pombas,9,13,2022-02-20,22:20:41.,2022-02-20 22:20:41,-9.14373,38.70523
215 - Av. 24 de Julho,4,13,2022-02-20,22:20:41.,2022-02-20 22:20:41,-9.14949,38.70662
222 - Praça da Figueira,13,17,2022-02-20,22:20:41.,2022-02-20 22:20:41,-9.13828,38.71383
460 - Av. Rio de Janeiro / Parque de Jogos 1º de Maio,13,2,2022-02-20,22:20:41.,2022-02-20 22:20:41,-9.13749,38.75176
552 - Alameda das Linhas de Torres / Hospital Puli,8,4,2022-02-20,22:20:41.,2022-02-20 22:20:41,-9.157335,38.766075
490 - Rua Fernando Namora / Azinhaga da Torre do Fato,11,5,2022-02-20,22:20:41.,2022-02-20 22:20:41,-9.17849,38.76026
225 - Martim Moniz,1,15,2022-02-20,22:20:41.,2022-02-20 22:20:41,-9.13694,38.71526
306 - Avenida da Liberdade / Rua Alexandre Herculano,3,13,2022-02-20,22:20:42.,2022-02-20 22:20:42,-9.14854,38.72281
480 - Faculdade de Ciências,2,23,2022-02-20,22:20:12.,2022-02-20 22:20:12,-9.15503,38.75587
427 - Av. República / Av. Visconde Valmor,8,4,2022-02-20,22:20:14.,2022-02-20 22:20:14,-9.14617,38.73812
430 - Av. Barbosa Du Bocage / Rua Arco do Cego,5,15,2022-02-20,22:20:14.,2022-02-20 22:20:14,-9.14329,38.74081
554 - Alameda das Linhas de Torres / Rua Ladislau,15,12,2022-02-20,22:20:14.,2022-02-20 22:20:14,-9.158298,38.768683
478 - Alameda da Universidade / Faculdade de Letras,21,11,2022-02-20,22:20:12.,2022-02-20 22:20:12,-9.15717,38.75359
315 - Rua Passos Manuel/ Jardim Constantino,15,5,2022-02-20,22:20:40.,2022-02-20 22:20:40,-9.136968,38.731264
479 - Rua Professor Oliveira Marques,1,13,2022-02-20,22:20:40.,2022-02-20 22:20:40,-9.15724,38.75491
463 - Campo Grande / Av. da Igreja,4,6,2022-02-20,22:20:41.,2022-02-20 22:20:41,-9.14951,38.75243
135 - Avenida Cidade de Lourenço Marques / Vale do,5,15,2022-02-20,22:20:41.,2022-02-20 22:20:41,-9.118689,38.764067
488 - Rua Fernando Namora / Rua António Quadros,17,3,2022-02-20,22:20:41.,2022-02-20 22:20:41,-9.17526,38.76014
419 - Av. António José de Almeida / Instituto Superior Técnico,20,5,2022-02-20,22:20:12.,2022-02-20 22:20:12,-9.13956,38.73811
426 - Av. Elias Garcia / Av. 5 de Outubro,8,6,2022-02-20,22:20:13.,2022-02-20 22:20:13,-9.14793,38.739046]
485 - Rua Tomás da Fonseca / Rua António Albino Machado,10,0,2022-02-20,22:20:14.,2022-02-20 22:20:14,-9.17,"38.756 ""typ"
468 - Largo Frei Heitor Pinto,17,4,2022-02-20,22:20:39.,2022-02-20 22:20:39,-9.13827,38.75482
432 - Praça de Londres,8,2,2022-02-20,22:20:15.,2022-02-20 22:20:15,-9.1377,"38.7407 """
416 - Av. República / Avenida Duque de Ávila,5,11,2022-02-20,22:20:16.,2022-02-20 22:20:16,-9.14553,38.735304]
106 - Jardim Garcia da Orta,12,2,2022-02-20,22:20:14.,2022-02-20 22:20:14,-9.092506,38.769459
108 - Rua do Bojador,9,5,2022-02-20,22:20:14.,2022-02-20 22:20:14,-9.09235,38.774289]
206 - Av. Brasília / Doca de Alcântara,19,3,2022-02-20,22:20:17.,2022-02-20 22:20:17,-9.17502,38.70141
101 - Alameda dos Oceanos / Rua dos Argonautas,14,2,2022-02-20,22:20:11.,2022-02-20 22:20:11,-9.096804,38.756161
443 - Av. de Roma / Fórum Lisboa,7,7,2022-02-20,22:20:16.,2022-02-20 22:20:16,-9.13866,38.74351
133 - Rua Cidade de Benguela / Avenida Cidade de L,0,18,2022-02-20,22:20:39.,2022-02-20 22:20:39,-9.110724,38.76503]
476 - Av. Professor Gama Pinto / Reitoria,20,3,2022-02-20,22:20:39.,2022-02-20 22:20:39,-9.15885,38.75231
150 - Avenida Dr. Francisco Luis Gomes / Go Fit,3,14,2022-02-20,22:20:39.,2022-02-20 22:20:39,-9.111745,38.769665
137 - Rua Cidade de Bissau {entrada SPACIO},12,21,2022-02-20,22:20:40.,2022-02-20 22:20:40,-9.114505,38.762829
131 - Avenida de Berlim / Praça Baden Powell,3,18,2022-02-20,22:20:40.,2022-02-20 22:20:40,-9.110767,38.768137
486 - Rua Hermano Neves / Rua José Escada,0,14,2022-02-20,22:20:40.,2022-02-20 22:20:40,-9.16985,38.75954
410 - Rua da Mesquita / Universidade Nova de Lisboa,34,6,2022-02-20,22:20:42.,2022-02-20 22:20:42,-9.16015,38.73492
423 - Av. Conde Valbom / Rua Marquês Sá da Bandeira,8,2,2022-02-20,22:20:12.,2022-02-20 22:20:12,-9.152295,38.737911
401 - Rua Martens Ferrão / Av. Fontes Pereira de Melo,3,13,2022-02-20,22:20:12.,2022-02-20 22:20:12,-9.14742,38.72894
487 - Rua Professor João Barreira,1,13,2022-02-20,22:20:41.,2022-02-20 22:20:41,-9.17096,38.76136
212 - Av. Infante Dom Henrique / Terminal de Cruzeiros,11,9,2022-02-20,22:20:41.,2022-02-20 22:20:41,-9.12769,38.71035
551 - Rua Francisco Stromp / Alameda das Linhas de,12,8,2022-02-20,22:20:41.,2022-02-20 22:20:41,-9.157235,38.762584
107 - Rotunda dos Vice-Reis,9,5,2022-02-20,22:20:14.,2022-02-20 22:20:14,-9.095416,38.774505
214 - Largo de Santos,8,16,2022-02-20,22:20:14.,2022-02-20 22:20:14,-9.15424,38.70673
218 - Cais do Sodré,4,18,2022-02-20,22:20:40.,2022-02-20 22:20:40,-9.14471,38.70617
314 - Rua Marques da Silva / Rua António Pedro,7,5,2022-02-20,22:20:40.,2022-02-20 22:20:40,-9.135675,38.729657
446 - Av. República / Interface Entrecampos ,17,23,2022-02-20,22:20:16.,2022-02-20 22:20:16,-9.14773,38.74456
452 - Rua Teixeira de Pascoais / Rua Dr. Gama Barros,0,10,2022-02-20,22:20:38.,2022-02-20 22:20:38,-9.136681,38.747751
132 - Avenida de Berlim / Rua Cidade de Cabinda,1,24,2022-02-20,22:20:38.,2022-02-20 22:20:38,-9.11255,38.76829
112 - Alameda dos Oceanos / Passeio das Garças,6,8,2022-02-20,22:20:16.,2022-02-20 22:20:16,-9.09622,38.78069
431 - Rua do Arco Cego / Av. Magalhães Lima,7,7,2022-02-20,22:20:16.,2022-02-20 22:20:16,-9.14199,38.73937
456 - Entrecampos / Av. das Forças Armadas,13,28,2022-02-20,22:20:39.,2022-02-20 22:20:39,-9.14872,38.74877
453 - Av. Roma / Av. EUA,8,6,2022-02-20,22:20:16.,2022-02-20 22:20:16,-9.14207,38.74873
555 - Alameda das Linhas de Torres,23,10,2022-02-20,22:20:41.,2022-02-20 22:20:41,-9.160248,38.770657
406 - Praça Duque de Saldanha,3,14,2022-02-20,22:20:13.,2022-02-20 22:20:13,-9.145341,38.734247
484 - Rua Professor Vieira de Almeida,2,20,2022-02-20,22:20:13.,2022-02-20 22:20:13,-9.16658,38.76081
403 - Av. Fontes Pereira de Melo,11,9,2022-02-20,22:20:13.,2022-02-20 22:20:13,-9.146522,38.731698
412 - Av. Ressano Garcia / Av. António Augusto de Aguiar,3,13,2022-02-20,22:20:13.,2022-02-20 22:20:13,-9.1546,38.73448 
301 - Avenida da Liberdade / Restauradores,6,16,2022-02-20,22:20:15.,2022-02-20 22:20:15,-9.14242,38.71702
442 - Campo Pequeno,10,6,2022-02-20,22:20:15.,2022-02-20 22:20:15,-9.14523,38.743371]
420 - Av. Rovisco Pais / Av. Manuel da Maia,16,10,2022-02-20,22:20:16.,2022-02-20 22:20:16,-9.13672,38.73617
102 - Porta do Mar,13,1,2022-02-20,22:20:11.,2022-02-20 22:20:11,-9.096439,38.759156
417 - Av. Duque de Ávila / Jardim Arco Do Cego,11,12,2022-02-20,22:20:11.,2022-02-20 22:20:11,-9.142703,38.735352
421 - Alameda D. Afonso Henriques,15,5,2022-02-20,22:20:11.,2022-02-20 22:20:11,-9.13416,38.73736
309 - Rua da Palma,2,8,2022-02-20,22:20:11.,2022-02-20 22:20:11,-9.13577,38.71901
464 - Av. da Igreja / Rua Afonso Lopes Vieira,9,5,2022-02-20,22:20:39.,2022-02-20 22:20:39,-9.148427,38.75165]
220 - Rua do Comercio,4,16,2022-02-20,22:20:40.,2022-02-20 22:20:40,-9.137125,38.70878]
550 - Rua Fernando Curado Ribeiro / Alameda das Li,4,16,2022-02-20,22:20:40.,2022-02-20 22:20:40,-9.156487,38.760871
475 - Av. Professor Gama Pinto / Cantina Velha,32,9,2022-02-20,22:20:40.,2022-02-20 22:20:40,-9.15907,38.75115
223 - Praça do Rossio,3,18,2022-02-20,22:20:40.,2022-02-20 22:20:40,-9.138952,38.713112
473 - Av. do Brasil / Av. de Roma,1,13,2022-02-20,22:20:40.,2022-02-20 22:20:40,-9.14697,38.75643
472 - Rua Marquês Soveral / ES Padre António Vieira,10,4,2022-02-20,22:20:40.,2022-02-20 22:20:40,-9.13608,38.75784
224 - Martim Moniz,10,12,2022-02-20,22:20:41.,2022-02-20 22:20:41,-9.13651,38.71498
305 - Avenida da Liberdade / Rua Barata Salgueiro,5,11,2022-02-20,22:20:41.,2022-02-20 22:20:41,-9.147,"38.72228 """
483 - Rua Professor Francisco Lucas Pires ,2,14,2022-02-20,22:20:42.,2022-02-20 22:20:42,-9.16405,38.75939
414 - Av. Duque de Ávila / Rua Pinheiro Chagas,5,14,2022-02-20,22:20:14.,2022-02-20 22:20:14,-9.151,"38.735 ""ty"
408 - Praça Duque de Saldanha,6,4,2022-02-20,22:20:14.,2022-02-20 22:20:14,-9.144117,38.733749
413 - Av. Ressano Garcia / Av. António Augusto de Aguiar,5,5,2022-02-20,22:20:15.,2022-02-20 22:20:15,-9.15425,38.73432
114 - Via do Oriente,1,9,2022-02-20,22:20:13.,2022-02-20 22:20:13,-9.09974,38.78836
216 - Praça D. Luís I,1,20,2022-02-20,22:20:13.,2022-02-20 22:20:13,-9.14655,38.70663
311 - Avenida Almirante Reis Nº14,10,1,2022-02-20,22:20:12.,2022-02-20 22:20:12,-9.135295,38.721721
308 - Marquês de Pombal,3,8,2022-02-20,22:20:12.,2022-02-20 22:20:12,-9.14969,38.7246 
415 - Av. Duque de Ávila / Av. Conde Valbom,10,10,2022-02-20,22:20:15.,2022-02-20 22:20:15,-9.148443,38.735188
103 - Jardim da Água,13,7,2022-02-20,22:20:11.,2022-02-20 22:20:11,-9.095019,38.761218
433 - Av. Paris / Av. Almirante Reis,14,0,2022-02-20,22:20:16.,2022-02-20 22:20:16,-9.13409,38.74095
113 - Alameda dos Oceanos/ Passeio do Levante,2,12,2022-02-20,22:20:16.,2022-02-20 22:20:16,-9.09825,38.78414
450 - Rua Alfredo Cortês,5,5,2022-02-20,22:20:17.,2022-02-20 22:20:17,-9.14399,38.74626
115 - Passeio dos Heróis do Mar / Rua Capitão Cook,5,7,2022-02-20,22:20:37.,2022-02-20 22:20:37,-9.09781,"38.793 """
481 - Campo Grande / Museu da Cidade,1,19,2022-02-20,22:20:38.,2022-02-20 22:20:38,-9.156169,38.758207
134 - Praça Cidade do Luso,3,17,2022-02-20,22:20:39.,2022-02-20 22:20:39,-9.116342,38.765588
219 - Praça do Município,5,17,2022-02-20,22:20:40.,2022-02-20 22:20:40,-9.13951,38.70797
226 - Rua dos Fanqueiros,2,15,2022-02-20,22:20:40.,2022-02-20 22:20:40,-9.136456,38.711888
556 - Alamedas das Linhas de Torres / Estrada da T,10,1,2022-02-20,22:20:40.,2022-02-20 22:20:40,-9.161462,38.773489
471 - Rua Lopes de Mendonça / EB São João de Brito,10,0,2022-02-20,22:20:40.,2022-02-20 22:20:40,-9.137337,38.756487
304 - Avenida da Liberdade / São Jorge,2,14,2022-02-20,22:20:41.,2022-02-20 22:20:41,-9.14637,38.72026
449 - Av. 5 de Outubro / Rua da Cruz Vermelha,10,4,2022-02-20,22:20:41.,2022-02-20 22:20:41,-9.150085,38.746836
